Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,114.20,115.44,114.12,114.81,2457100,114.81
2014-03-27,114.29,114.70,113.30,113.80,2403200,113.80
2014-03-26,115.85,116.29,114.58,114.58,3462600,114.58
2014-03-25,114.37,115.24,113.79,115.20,3453300,115.20
2014-03-24,114.97,115.20,112.93,113.75,3124900,113.75
2014-03-21,116.52,117.60,114.41,114.57,10342400,114.57
2014-03-20,114.03,114.50,113.00,113.77,2895500,113.77
2014-03-19,114.64,115.10,112.84,114.01,2972400,114.01
2014-03-18,114.71,115.29,114.34,114.68,2554900,114.68
2014-03-17,113.17,114.88,113.05,114.41,3993600,114.41
2014-03-14,113.04,114.36,112.42,112.60,4213800,112.60
2014-03-13,116.02,116.50,112.32,112.89,5926400,112.89
2014-03-12,115.41,115.83,114.51,115.81,3184200,115.81
2014-03-11,117.79,117.82,115.50,115.64,3350400,115.64
2014-03-10,118.20,118.40,116.90,117.77,2474300,117.77
2014-03-07,118.24,118.40,117.60,118.31,2912900,118.31
2014-03-06,118.08,118.20,117.26,117.76,1786900,117.76
2014-03-05,118.16,118.42,117.33,117.41,2487400,117.41
2014-03-04,117.80,118.17,117.15,117.59,3217100,117.59
2014-03-03,115.60,117.10,115.45,116.76,3125600,116.76
2014-02-28,116.92,117.91,116.20,117.02,3272200,117.02
2014-02-27,116.13,116.63,115.65,116.61,2147100,116.61
2014-02-26,115.89,116.79,115.61,116.11,2951600,116.11
2014-02-25,116.05,116.67,115.56,115.89,2569500,115.89
2014-02-24,115.77,117.58,115.30,116.49,3331500,116.49
2014-02-21,115.29,116.08,114.72,115.38,3660000,115.38
2014-02-20,114.36,115.40,113.47,115.05,3096800,115.05
2014-02-19,113.44,115.28,113.41,114.04,4196200,114.04
2014-02-18,114.00,114.11,112.96,113.74,2392800,113.74
2014-02-14,113.26,114.14,112.37,113.87,3466600,113.87
2014-02-13,112.18,113.58,111.69,113.30,2520900,113.30
2014-02-12,112.53,112.86,111.97,112.78,3006300,112.78
2014-02-11,111.75,113.20,111.39,112.96,3364000,112.37
2014-02-10,110.59,111.68,110.33,111.60,4094000,111.02
2014-02-07,110.03,111.17,109.99,110.73,3982500,110.15
2014-02-06,108.10,109.50,108.10,109.45,3717700,108.88
2014-02-05,108.30,108.89,107.00,107.91,6864500,107.35
2014-02-04,108.37,110.02,107.50,109.10,9759600,108.53
2014-02-03,114.11,114.74,110.11,110.16,5262200,109.58
2014-01-31,112.98,114.93,112.37,114.02,3482000,113.42
2014-01-30,113.98,115.27,113.65,114.68,3210800,114.08
2014-01-29,113.06,114.05,112.43,113.27,3881200,112.68
2014-01-28,113.59,113.93,112.99,113.86,3662100,113.27
2014-01-27,111.88,114.81,111.57,113.79,7665000,113.20
2014-01-24,114.02,114.35,111.77,111.80,5119800,111.22
2014-01-23,115.08,115.92,114.49,114.84,4086400,114.24
2014-01-22,117.49,118.20,115.45,116.12,5042800,115.51
2014-01-21,114.84,115.98,114.46,114.99,4737200,114.39
2014-01-17,113.69,114.47,113.65,114.21,4284300,113.61
2014-01-16,113.88,114.39,113.59,114.22,2653100,113.62
2014-01-15,112.57,114.28,112.55,114.07,2271800,113.47
2014-01-14,112.67,113.41,112.12,112.63,3430500,112.04
2014-01-09,114.07,114.23,113.05,113.71,2123200,113.12
2014-01-08,112.94,113.94,112.56,113.65,3141400,113.06
2014-01-07,113.12,113.97,112.90,113.51,2500300,112.92
2014-01-06,113.38,113.84,112.16,112.79,2956800,112.20
2014-01-03,112.95,113.51,112.73,112.90,2314900,112.31
2014-01-02,112.90,113.21,112.31,112.49,2649500,111.90
2013-12-31,113.16,113.94,113.08,113.80,2103200,113.21
2013-12-30,112.90,112.90,112.10,112.73,1614900,112.14
2013-12-27,112.85,113.04,112.44,112.80,1593900,112.21
